s1,s2,t1,t2
2609,1024,46.16,52.77
2603,1049,46.15,52.83
2581,1105,46.15,52.84
2556,1171,46.14,52.90
2550,1224,46.08,53.05
2555,1226,46.23,53.15
2559,1229,46.22,52.99
2523,1231,46.21,53.04
2554,1233,46.20,53.09
2556,1230,46.24,53.19
2564,1238,46.22,53.18
2566,1233,46.26,53.12
2568,1236,46.20,53.16
2570,1239,46.19,53.05
2567,1234,46.03,53.05
2569,1240,46.03,53.25
2569,1232,46.03,53.34
2571,1239,46.03,53.32
2567,1240,46.02,53.40
2568,1239,46.07,53.48
2566,1242,46.07,53.56
2561,1242,45.97,53.48
2558,1233,45.97,53.51
2556,1244,45.87,53.38
2554,1243,45.78,53.36
2552,1241,45.64,53.44
2549,1243,45.66,53.37
2549,1245,45.67,53.45
2545,1246,45.69,53.43
2543,1233,45.70,53.36
2542,1215,45.67,53.24
2539,1183,45.69,53.28
2536,1156,45.75,53.27
2528,1142,45.76,53.25
2510,1143,45.78,53.39
2491,1145,45.69,53.37
2484,1154,45.65,53.35
2480,1164,45.67,53.33
2478,1169,45.69,53.32
2476,1176,45.75,53.40
2473,1180,45.86,53.43
2467,1185,45.82,53.41
2464,1204,45.88,53.49
2462,1203,45.89,53.47
2448,1188,45.89,53.44
2435,1177,45.90,53.37
2420,1168,45.90,53.40
2410,1157,45.91,53.33
2393,1164,46.01,53.21
2383,1195,46.01,53.10
2379,1215,46.01,53.00
2372,1245,46.06,52.80
2371,1274,46.16,52.76
2376,1289,46.20,52.57
2379,1307,46.29,52.59
2384,1324,46.22,52.51
2385,1329,46.26,52.44
2384,1340,46.30,52.37
2377,1339,46.39,52.40
2364,1337,46.42,52.28
2349,1343,46.50,52.21
2343,1355,46.62,52.15
2339,1361,46.54,52.19
2336,1370,46.56,52.14
2330,1375,46.63,52.13
2318,1363,46.65,52.07
2310,1364,46.77,51.92
2306,1363,46.78,52.02
2305,1371,46.89,52.12
2306,1372,46.90,52.07
2308,1377,46.75,52.06
2307,1376,46.72,52.06
2299,1370,46.73,52.06
2296,1379,46.79,52.05
2290,1372,46.80,52.10
2284,1376,46.86,52.15
2279,1373,47.02,52.09
2267,1377,47.12,52.13
2264,1394,47.16,52.08
2264,1404,47.11,51.97
2264,1425,47.10,52.12
2263,1424,47.04,52.22
2260,1422,47.09,52.16
2255,1432,47.04,52.00
2256,1444,47.14,51.95
2261,1441,47.18,52.00
2257,1430,47.07,51.95
2260,1424,47.17,51.90
2257,1420,47.16,51.96
2257,1415,47.15,52.06
2257,1419,47.24,52.06
2254,1430,47.28,52.01
2258,1437,47.32,52.00
2256,1447,47.25,51.90
2255,1456,47.34,51.91
2257,1454,47.32,52.01
2258,1457,47.31,52.06
2254,1440,47.19,51.96
2249,1451,47.18,51.91
2244,1456,47.22,51.97
2237,1490,47.16,51.72
2209,1551,47.25,51.68
2154,1636,47.34,51.60
